id,doc_number,title,content,metadata,department,author,file_size
5,DOC-2024-005,Договор аренды,Текст договора аренды офисных помещений...,"{""type"": ""contract"", ""amount"": 500000}",legal,Анна Петрова,768
6,DOC-2024-006,Отчет о движении денежных средств,Ежемесячный отчет о движении денежных средств...,"{""type"": ""report"", ""period"": ""Q2-2024""}",finance,Иван Сидоров,3072
7,DOC-2024-007,Заявка на закупку,Заявка на закупку серверного оборудования...,"{""type"": ""request"", ""priority"": ""medium""}",it,Сергей Смирнов,256
8,DOC-2024-008,Протокол совещания,Протокол совещания по проекту Alpha...,"{""type"": ""protocol"", ""attendees"": 8}",hr,Мария Иванова,1280
9,DOC-2024-009,Договор подряда,Текст договора подряда на строительные работы...,"{""type"": ""contract"", ""amount"": 3500000}",legal,Анна Петрова,1536
10,DOC-2024-010,Аудиторское заключение,Заключение по результатам годового аудита...,"{""type"": ""report"", ""period"": ""2024""}",finance,Иван Сидоров,4096
11,DOC-2024-011,Служебная записка,Записка о перераспределении ресурсов...,"{""type"": ""memo"", ""priority"": ""low""}",hr,Мария Иванова,384
12,DOC-2024-012,Техническая документация,Документация по API интеграции...,"{""type"": ""spec"", ""version"": ""2.0""}",it,Сергей Смирнов,8192
13,DOC-2024-013,Гражданский договор,Договор на оказание консультационных услуг...,"{""type"": ""contract"", ""amount"": 180000}",legal,Анна Петрова,640
14,DOC-2024-014,Бюджетный план,План бюджета на следующий финансовый год...,"{""type"": ""report"", ""period"": ""2025""}",finance,Иван Сидоров,2048
